,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,date_action,points_de_vente,nom_action,montant
71,71,71,71,2022-04-15 09:47:50.0,71,COMMISSION_AJOUT,0.0
72,72,72,72,2022-04-15 09:47:50.0,72,COMMISSION_AJOUT,0.0
73,73,73,73,2022-04-15 09:47:50.0,73,COMMISSION_AJOUT,0.0057168468616797
74,74,74,74,2022-04-15 09:47:50.0,74,validation_action_vente_orange_money_depot,0.0
75,75,75,75,2022-04-15 09:47:50.0,75,COMMISSION_AJOUT,0.0304898499289586
76,76,76,76,2022-04-15 09:47:50.0,76,action_vente_orange_money_depot,15.2449249644793
77,77,77,77,2022-04-15 09:47:50.0,77,initialize_failed,0.0
78,78,78,78,2022-04-15 09:47:47.0,78,action_eneo_paiement,6.59190555464086
79,79,79,79,2022-04-15 09:47:47.0,79,COMMISSION_AJOUT,0.0571684686167975
80,80,80,80,2022-04-15 09:47:47.0,80,action_eneo_paiement,4.5734774893438
81,81,81,81,2022-04-15 09:47:47.0,81,COMMISSION_AJOUT,0.114336937233595
82,82,82,82,2022-04-15 09:47:47.0,82,COMMISSION_AJOUT,0.0
83,83,83,83,2022-04-15 09:47:42.0,83,action_eneo_paiement,39.5209434779162
84,84,84,84,2022-04-15 09:47:42.0,84,action_eneo_paiement,6.47909310990371
85,85,85,85,2022-04-15 09:47:42.0,85,COMMISSION_AJOUT,0.114336937233595
86,86,86,86,2022-04-15 09:47:42.0,86,COMMISSION_AJOUT,0.0571684686167975
87,87,87,87,2022-04-15 09:47:42.0,87,COMMISSION_AJOUT,0.22867387446719
88,88,88,88,2022-04-15 09:47:42.0,88,COMMISSION_AJOUT,0.114336937233595
89,89,89,89,2022-04-15 09:47:42.0,89,initialize_failed,0.0
90,90,90,90,2022-04-15 09:47:39.0,90,action_credit_compte_client,0.271359664367732
91,91,91,91,2022-04-15 09:47:39.0,91,COMMISSION_VERSEMENT,0.271359664367732
92,92,92,92,2022-04-15 09:47:31.0,92,validation_action_vente_mtn_momo_depot,0.0
93,93,93,93,2022-04-15 09:47:31.0,93,action_login,0.0
94,94,94,94,2022-04-15 09:47:26.0,94,action_transfert,0.91469549786876
95,95,95,95,2022-04-15 09:47:26.0,95,COMMISSION_AJOUT,0.0068602162340157
96,96,96,96,2022-04-15 09:47:26.0,96,COMMISSION_AJOUT,0.0
97,97,97,97,2022-04-15 09:47:26.0,97,COMMISSION_AJOUT,0.0365878199147504
98,98,98,98,2022-04-15 09:47:26.0,98,action_vente_mtn_momo_depot,38.1123124111983
99,99,99,99,2022-04-15 09:47:26.0,99,action_login,0.0
100,100,100,100,2022-04-15 09:47:25.0,100,action_login,0.0
101,101,101,101,2022-04-15 09:47:24.0,101,action_transfert,1.60071712127033
102,102,102,102,2022-04-15 09:47:24.0,102,COMMISSION_AJOUT,0.0800358560635165
103,103,103,103,2022-04-15 09:47:24.0,103,action_login,0.0
104,104,104,104,2022-04-15 09:47:23.0,104,action_canal_paiement,7.62246248223966
105,105,105,105,2022-04-15 09:47:23.0,105,COMMISSION_AJOUT,0.0
106,106,106,106,2022-04-15 09:47:23.0,106,COMMISSION_AJOUT,0.0
107,107,107,107,2022-04-15 09:47:23.0,107,COMMISSION_AJOUT,0.0571684686167975
108,108,108,108,2022-04-15 09:47:23.0,108,COMMISSION_AJOUT,0.304898499289586
109,109,109,109,2022-04-15 09:47:22.0,109,action_vente_mtn_momo_cashout,7.62246248223966
110,110,110,110,2022-04-15 09:47:22.0,110,COMMISSION_AJOUT,0.0
111,111,111,111,2022-04-15 09:47:22.0,111,COMMISSION_AJOUT,0.0050003353883492
112,112,112,112,2022-04-15 09:47:22.0,112,COMMISSION_AJOUT,0.0375025154126191
113,113,113,113,2022-04-15 09:47:21.0,113,validation_action_vente_mtn_momo_depot,0.0
114,114,114,114,2022-04-15 09:47:18.0,114,action_transfert,0.304898499289587
115,115,115,115,2022-04-15 09:47:18.0,115,COMMISSION_AJOUT,0.0
116,116,116,116,2022-04-15 09:47:18.0,116,COMMISSION_AJOUT,0.0022867387446719
117,117,117,117,2022-04-15 09:47:18.0,117,COMMISSION_AJOUT,0.0121959399715835
118,118,118,118,2022-04-15 09:47:18.0,118,action_transfert,0.91469549786876
119,119,119,119,2022-04-15 09:47:18.0,119,COMMISSION_AJOUT,0.0068602162340157
120,120,120,120,2022-04-15 09:47:17.0,120,COMMISSION_AJOUT,0.0
121,121,121,121,2022-04-15 09:47:17.0,121,COMMISSION_AJOUT,0.0365878199147504
122,122,122,122,2022-04-15 09:47:17.0,122,validation_action_vente_mtn_momo_depot,0.0
123,123,123,123,2022-04-15 09:47:16.0,123,action_vente_mtn_momo_depot,6.09796998579173
124,124,124,124,2022-04-15 09:47:14.0,124,action_eneo_paiement,3.35388349218545
125,125,125,125,2022-04-15 09:47:14.0,125,COMMISSION_AJOUT,0.0571684686167975
126,126,126,126,2022-04-15 09:47:14.0,126,COMMISSION_AJOUT,0.114336937233595
127,127,127,127,2022-04-15 09:47:12.0,127,action_vente_mtn_momo_depot,30.4898499289586
128,128,128,128,2022-04-15 09:47:11.0,128,validation_action_vente_orange_money_depot,0.0
129,129,129,129,2022-04-15 09:47:11.0,129,validation_action_vente_mtn_momo_depot,0.0
130,130,130,130,2022-04-15 09:47:11.0,130,action_vente_orange_money_depot,15.2449249644793
131,131,131,131,2022-04-15 09:47:11.0,131,action_vente_mtn_momo_payment,9.57381287769301
132,132,132,132,2022-04-15 09:47:10.0,132,action_login,0.0
133,133,133,133,2022-04-15 09:47:08.0,133,action_vente_mtn_momo_cashout,3.04898499289586
