,id,nom_action,date_action,utilisateur,montant,soldeuser,points_de_vente
51,255440044,COMMISSION_AJOUT,2022-04-15 09:47:53.0,22010,0.0,2.14868446054911,22010
52,255440043,COMMISSION_AJOUT,2022-04-15 09:47:53.0,23859,0.0182939099573752,146.139722024047,23859
53,255440042,action_transfert,2022-04-15 09:47:53.0,6656,0.762246248223966,5.32402325766177,6656
54,255440041,COMMISSION_AJOUT,2022-04-15 09:47:53.0,173,0.0057168468616797,15.2598649910166,173
55,255440040,action_transfert,2022-04-15 09:47:53.0,18521,0.152449249644793,24.3210245809169,18521
56,255440039,COMMISSION_AJOUT,2022-04-15 09:47:53.0,24254,0.0,2.09573697016296,24254
57,255440038,action_vente_mtn_momo_payment,2022-04-15 09:47:52.0,11149,15.5498234637689,103.18420747734,11149
58,255440037,COMMISSION_AJOUT,2022-04-15 09:47:52.0,334,0.0,6223.28479349212,334
59,255440036,COMMISSION_AJOUT,2022-04-15 09:47:52.0,6656,0.0304898499289586,5.32402325766177,6656
60,255440035,COMMISSION_AJOUT,2022-04-15 09:47:52.0,9436,0.0011433693723359,0.0203924469545829,9436
61,255440034,COMMISSION_AJOUT,2022-04-15 09:47:52.0,18521,0.0060979699857917,24.3210245809169,18521
62,255440033,validation_action_vente_mtn_momo_depot,2022-04-15 09:47:51.0,295,0.0,156.184256261091,295
63,255440032,action_vente_mtn_momo_depot,2022-04-15 09:47:51.0,295,9.14695497868759,156.184256261091,295
64,255440031,COMMISSION_AJOUT,2022-04-15 09:47:51.0,173,0.00146351279659,15.2598649910166,173
65,255440030,COMMISSION_AJOUT,2022-04-15 09:47:51.0,22010,0.0,2.14868446054911,22010
66,255440029,COMMISSION_AJOUT,2022-04-15 09:47:51.0,295,0.0109763459744251,156.184256261091,295
67,255440028,action_vente_mtn_momo_depot,2022-04-15 09:47:51.0,2465,10.6714474751355,25.8001298867607,2465
68,255440027,validation_action_vente_mtn_momo_depot,2022-04-15 09:47:51.0,17254,0.0,47.5270111836812,17254
69,255440026,action_vente_mtn_momo_depot,2022-04-15 09:47:51.0,17254,6.09796998579173,47.5270111836812,17254
70,255440025,action_transfert,2022-04-15 09:47:50.0,14479,0.762246248223966,28.5080096835759,14479
71,255440024,COMMISSION_AJOUT,2022-04-15 09:47:50.0,334,0.0,6223.28479349212,334
72,255440023,COMMISSION_AJOUT,2022-04-15 09:47:50.0,337,0.0,343.535348286732,337
73,255440022,COMMISSION_AJOUT,2022-04-15 09:47:50.0,14336,0.0057168468616797,236.387538066599,14336
74,255440021,validation_action_vente_orange_money_depot,2022-04-15 09:47:50.0,24232,0.0,63.2189811511774,24232
75,255440020,COMMISSION_AJOUT,2022-04-15 09:47:50.0,14479,0.0304898499289586,28.5080096835759,14479
76,255440019,action_vente_orange_money_depot,2022-04-15 09:47:50.0,24232,15.2449249644793,63.2189811511774,24232
77,255440018,initialize_failed,2022-04-15 09:47:50.0,eneobangangte1,0.0,0.0,eneobangangte1
78,255440017,action_eneo_paiement,2022-04-15 09:47:47.0,26580,6.59190555464086,239.644122471629,26580
79,255440016,COMMISSION_AJOUT,2022-04-15 09:47:47.0,210,0.0571684686167975,17594.0479518069,210
80,255440015,action_eneo_paiement,2022-04-15 09:47:47.0,310,4.5734774893438,16494.0636262191,310
81,255440014,COMMISSION_AJOUT,2022-04-15 09:47:47.0,26580,0.114336937233595,239.644122471629,26580
82,255440013,COMMISSION_AJOUT,2022-04-15 09:47:47.0,310,0.0,16494.0636262191,310
83,255440012,action_eneo_paiement,2022-04-15 09:47:42.0,23629,39.5209434779162,65.3138320253187,23629
84,255440011,action_eneo_paiement,2022-04-15 09:47:42.0,25918,6.47909310990371,120.666630078847,25918
85,255440010,COMMISSION_AJOUT,2022-04-15 09:47:42.0,210,0.114336937233595,17594.0479518069,210
86,255440009,COMMISSION_AJOUT,2022-04-15 09:47:42.0,210,0.0571684686167975,17594.0479518069,210
87,255440008,COMMISSION_AJOUT,2022-04-15 09:47:42.0,23629,0.22867387446719,65.3138320253187,23629
88,255440007,COMMISSION_AJOUT,2022-04-15 09:47:42.0,25918,0.114336937233595,120.666630078847,25918
89,255440006,initialize_failed,2022-04-15 09:47:42.0,eneobangangte1,0.0,0.0,eneobangangte1
90,255440005,action_credit_compte_client,2022-04-15 09:47:39.0,23069,0.271359664367732,3.25479147991634,23069
91,255440004,COMMISSION_VERSEMENT,2022-04-15 09:47:39.0,23069,0.271359664367732,2.98343181554861,23069
92,255440003,validation_action_vente_mtn_momo_depot,2022-04-15 09:47:31.0,26702,0.0,145.975870942563,26702
93,255440002,action_login,2022-04-15 09:47:31.0,17127,0.0,13.4948075785562,17127
94,255440001,action_transfert,2022-04-15 09:47:26.0,1700,0.91469549786876,53.0233735189524,1700
95,255440000,COMMISSION_AJOUT,2022-04-15 09:47:26.0,173,0.0068602162340157,15.2598649910166,173
96,255439999,COMMISSION_AJOUT,2022-04-15 09:47:26.0,215,0.0,11.8272988187976,215
97,255439998,COMMISSION_AJOUT,2022-04-15 09:47:26.0,1700,0.0365878199147504,53.0233735189524,1700
98,255439997,action_vente_mtn_momo_depot,2022-04-15 09:47:26.0,26702,38.1123124111983,145.975870942563,26702
99,255439996,action_login,2022-04-15 09:47:26.0,21543,0.0,82.8574407917613,21543
