,pdv,classes
455,18909,4
456,179,4
457,26742,4
458,10707,4
459,6821,4
460,21745,4
461,17491,4
462,26651,4
463,3690,4
464,23049,4
465,25430,4
466,25046,4
467,7403,4
468,21288,4
469,5207,4
470,26445,4
471,24602,4
472,Richmond4,4
473,15177,4
474,19055,4
475,13349,4
476,20306,4
477,26459,4
478,11098,4
479,21584,4
480,17252,4
481,468,4
482,3573,4
483,24493,4
484,26628,4
485,4436,4
486,26582,4
487,25656,4
488,576,4
489,15231,4
490,18379,4
491,19721,4
492,14510,4
493,24646,4
494,Ngoateh,4
495,25015,4
496,6753,4
497,18064,4
498,11723,4
