,pdv,classes
455,18909,3
456,179,3
457,26742,3
458,10707,3
459,6821,3
460,21745,3
461,17491,3
462,26651,3
463,3690,3
464,23049,3
465,25430,3
466,25046,3
467,7403,3
468,21288,3
469,5207,3
470,26445,3
471,24602,3
472,Richmond4,3
473,15177,3
474,19055,3
475,13349,3
476,20306,3
477,26459,3
478,11098,3
479,21584,3
480,17252,3
481,468,3
482,3573,3
483,24493,3
484,26628,3
485,4436,3
486,26582,3
487,25656,3
488,576,3
489,15231,3
490,18379,3
491,19721,3
492,14510,3
493,24646,3
494,Ngoateh,3
495,25015,3
496,6753,3
497,18064,3
498,11723,3
