,pdv,classes
455,18909,0
456,179,0
457,26742,0
458,10707,0
459,6821,0
460,21745,0
461,17491,0
462,26651,0
463,3690,0
464,23049,0
465,25430,0
466,25046,0
467,7403,0
468,21288,0
469,5207,0
470,26445,0
471,24602,0
472,Richmond4,0
473,15177,0
474,19055,0
475,13349,0
476,20306,0
477,26459,0
478,11098,0
479,21584,0
480,17252,0
481,468,0
482,3573,0
483,24493,0
484,26628,0
485,4436,0
486,26582,0
487,25656,0
488,576,0
489,15231,0
490,18379,0
491,19721,0
492,14510,0
493,24646,0
494,Ngoateh,0
495,25015,0
496,6753,0
497,18064,0
498,11723,0
