,pdv,classes
455,18909,2
456,179,4
457,26742,2
458,10707,2
459,6821,4
460,21745,2
461,17491,4
462,26651,2
463,3690,4
464,23049,4
465,25430,2
466,25046,4
467,7403,4
468,21288,4
469,5207,2
470,26445,2
471,24602,2
472,Richmond4,4
473,15177,2
474,19055,2
475,13349,2
476,20306,2
477,26459,4
478,11098,2
479,21584,4
480,17252,2
481,468,2
482,3573,2
483,24493,2
484,26628,4
485,4436,0
486,26582,2
487,25656,4
488,576,1
489,15231,1
490,18379,4
491,19721,4
492,14510,4
493,24646,2
494,Ngoateh,4
495,25015,4
496,6753,4
497,18064,2
498,11723,4
