id,nom_action,date_action,utilisateur,montant,soldeuser
255440095,action_vente_mtn_momo_depot,2022-04-15 09:48:40.0,17070,5.33572373756776,20.3968219148869
255440094,initialize_failed,2022-04-15 09:48:39.0,eneobangangte1,0.0,0.0
255440093,action_login,2022-04-15 09:48:32.0,16666,0.0,0.0
255440092,action_login,2022-04-15 09:48:27.0,14588,0.0,28.9806023574747
255440091,action_login,2022-04-15 09:48:23.0,10245,0.0,68.8509560336372
255440090,action_transfert,2022-04-15 09:48:20.0,26255,0.45734774893438,9.2742501021408
255440089,COMMISSION_AJOUT,2022-04-15 09:48:20.0,334,0.0,6223.28479349212
255440088,COMMISSION_AJOUT,2022-04-15 09:48:20.0,11323,0.0,5.22119977559466
255440087,validation_action_vente_mtn_momo_depot,2022-04-15 09:48:20.0,24232,0.0,63.2189811511774
255440086,action_vente_mtn_momo_depot,2022-04-15 09:48:20.0,24232,15.2449249644793,63.2189811511774
255440085,COMMISSION_AJOUT,2022-04-15 09:48:20.0,26255,0.021724018074383,9.2742501021408
255440084,validation_action_vente_orange_money_depot,2022-04-15 09:48:18.0,26612,0.0,6.30758770405332
255440083,action_vente_orange_money_depot,2022-04-15 09:48:18.0,26612,7.77491173188446,6.30758770405332
255440082,COMMISSION_AJOUT,2022-04-15 09:48:18.0,334,0.0,6223.28479349212
255440081,COMMISSION_AJOUT,2022-04-15 09:48:18.0,337,0.00391855551286977,343.535348286732
255440080,COMMISSION_AJOUT,2022-04-15 09:48:17.0,26612,0.0108848764246382,6.30758770405332
255440079,action_vente_orange_money_payment,2022-04-15 09:48:15.0,26384,9.45185347797718,333.930343651102
255440078,action_vente_mtn_momo_cashout,2022-04-15 09:48:13.0,6706,7.01266548366049,32.9019220801606
255440077,COMMISSION_AJOUT,2022-04-15 09:48:13.0,334,0.0,6223.28479349212
255440076,COMMISSION_AJOUT,2022-04-15 09:48:13.0,337,0.00460030855728128,343.535348286732
255440075,COMMISSION_AJOUT,2022-04-15 09:48:12.0,6706,0.0345023141796096,32.9019220801606
255440074,validation_action_vente_mtn_momo_depot,2022-04-15 09:48:11.0,26473,0.0,88.885954240835
255440073,action_vente_mtn_momo_depot,2022-04-15 09:48:11.0,26473,1.52449249644793,88.885954240835
255440072,COMMISSION_AJOUT,2022-04-15 09:48:11.0,334,0.0,6223.28479349212
255440071,COMMISSION_AJOUT,2022-04-15 09:48:11.0,338,0.0005488172987213,7.84355954784132
255440070,action_vente_mtn_momo_payment,2022-04-15 09:48:11.0,18420,30.4898499289586,31.2927358420379
